ID	GTEX-11GSO	GTEX-11ONC	GTEX-11UD1	GTEX-11ZTS	GTEX-11ZVC	GTEX-1212Z	GTEX-12WSD	GTEX-12WSE	GTEX-12WSF	GTEX-12WSH	GTEX-12WSM	GTEX-12ZZX	GTEX-13112	GTEX-1399T	GTEX-139T8	GTEX-139TT	GTEX-13CF2	GTEX-13FHO	GTEX-13FHP	GTEX-13FLW	GTEX-13FTY	GTEX-13FXS	GTEX-13G51	GTEX-13JUV	GTEX-13JVG	GTEX-13N1W	GTEX-13N2G	GTEX-13NYB	GTEX-13NYS	GTEX-13NZA	GTEX-13O3O	GTEX-13O3Q	GTEX-13OVJ	GTEX-13OVL	GTEX-13OW5	GTEX-13OW6	GTEX-13OW7	GTEX-13OW8	GTEX-13QIC	GTEX-13QJC	GTEX-13RTJ	GTEX-13S7M	GTEX-13SLW	GTEX-13X6I	GTEX-145MH	GTEX-N7MS	GTEX-N7MT	GTEX-NL3H	GTEX-NPJ7	GTEX-NPJ8	GTEX-P44H	GTEX-PVOW	GTEX-PWO3	GTEX-Q2AG	GTEX-QDT8	GTEX-QMR6	GTEX-QVJO	GTEX-QVUS	GTEX-R55E	GTEX-RNOR	GTEX-S7SE	GTEX-T5JC	GTEX-T6MN	GTEX-TSE9	GTEX-UTHO	GTEX-WHSE	GTEX-WL46	GTEX-WVLH	GTEX-WWYW	GTEX-WZTO	GTEX-X4XX	GTEX-X585	GTEX-XMD1	GTEX-Y8DK	GTEX-YFC4	GTEX-YJ89	GTEX-ZAB4	GTEX-ZE7O	GTEX-ZF28	GTEX-ZUA1	GTEX-ZVZQ 
C1	-0.0215	-0.0208	0.1325	-0.0212	-0.0203	-0.0205	0.1297	-0.0222	-0.0221	-0.021	-0.0218	-0.0106	-0.0212	-0.0224	-0.022	-0.0217	-0.0202	-0.0203	0.1121	0.1074	-0.0216	0.1214	-0.0212	0.1161	-0.0206	-0.0207	-0.021	0.1132	-0.0216	-0.0218	-0.0217	-0.0215	-0.0208	-0.022	-0.021	-0.0217	-0.0219	-0.0207	-0.0173	-0.02	-0.0216	-0.0217	-0.02	-0.0219	-0.0201	-0.0217	-0.0225	0.0756	-0.02	-0.0219	-0.0216	-0.0201	-0.0207	-0.0222	-0.0196	-0.0202	-0.0196	-0.0229	-0.0186	-0.0213	-0.0218	-0.0226	-0.0221	-0.0215	-0.0227	-0.0196	-0.0209	-0.0224	-0.0218	-0.0174	-0.0153	0.1336	-0.0208	-0.0215	-0.0215	-0.0114	-0.0189	-0.0197	-0.021	-0.0221	-0.0224
C2	0.0052	0.005	0.0212	0.0123	0.003	0.0039	0.0214	0.0069	0.0136	0.0071	0.0028	-0.1344	0.0019	0.0028	0.0088	0.0158	-0.0159	0.0058	0.0147	0.0195	0.001	0.0019	0.0025	-0.0059	0.0065	0.0032	0.0131	0.0132	0.008	0.0061	0.0055	-0.0014	0.0084	0.0121	0.0146	0.0138	0.0063	0.0041	-0.0043	0.0045	-3e-04	-0.011	0.0109	0.0148	-0.0052	0.01	0.005	-0.0353	-0.0194	0.0045	0.0185	0.0097	0.0031	0.0149	0.0021	-0.0074	0.0063	-2e-04	0.0077	-0.0074	0.015	0.0065	0.0071	-0.0175	0.014	0.0112	0.0021	-0.0015	-0.001	-0.0018	-0.0097	0.0149	0.0147	0.0124	0.015	-4e-04	2e-04	0.0067	0.0155	0.0124	0.0141
C3	-0.0053	0.019	-0.0014	0.0225	0.0128	0.0042	-0.0052	0.0043	0.02	-0.0196	0.0204	0.0568	0.0252	0.015	0.001	0.0121	-0.0134	-0.0108	0.0156	0.0035	-0.0046	0.0088	-0.008	0.0124	0.038	-0.0158	0.0098	0.0099	0.0565	0.0394	-0.004	0.0251	2e-04	0.0288	0.0099	0.0268	0.0337	-0.0118	-0.0631	-0.0257	0.0219	0.0431	-0.0128	0.0204	-0.0222	0.0378	0.0533	1e-04	0.0571	0.0015	0.0254	0.0085	0.0228	0.0294	-0.023	0.0096	0.0312	0.0086	-0.022	0.0152	0.0337	0.0124	0.0181	0.0239	0.0268	-0.0639	0.0161	0.0154	0.019	-0.0696	-0.1789	-0.0084	-0.0075	0.0114	-0.0026	-0.1762	0.0045	0.0076	0.0198	0.0239	0.0219
InferredCov1	0.0886034965515137	-0.0119014261290431	0.0702363103628159	0.111152499914169	0.11100160330534	0.106922723352909	-0.0433818213641644	-0.122717268764973	-0.0529687404632568	-0.0257432572543621	-0.0411186553537846	0.011792198754847	-0.0576508194208145	-0.021549079567194	-0.0497802793979645	-0.0997845679521561	0.0293317548930645	0.0397996455430984	0.014707088470459	-0.0978002846240997	-0.0092479819431901	-0.0981962829828262	0.0279494319111109	-0.037061657756567	0.111979842185974	0.0183170940726995	-0.00600388925522566	-0.0695919767022133	0.0396074913442135	0.139211401343346	-0.111895345151424	-0.105390280485153	0.0378659255802631	0.101332560181618	0.10720132291317	-0.0214218553155661	-0.023190138861537	0.0759155228734016	0.137896865606308	0.108360171318054	0.125533059239388	0.0513615384697914	0.00491887191310525	-0.0330781824886799	-0.105814129114151	-0.0869994610548019	-0.00144510238897055	-0.0601147636771202	-0.00643848581239581	0.107122026383877	7.8450575529132e-06	-0.0416982509195805	0.0470310151576996	-0.0711605027318001	0.00945789460092783	0.0556613467633724	0.0257360097020864	0.1035271063447	-0.0538886450231075	-0.100609689950943	-0.0388933233916759	-0.0659047290682793	-0.0293585415929556	-0.0476496294140816	0.12235663831234	-0.105164900422096	-0.0649281665682793	-0.0383527651429176	-0.0737101808190346	0.0190863236784935	0.0126999979838729	-0.0799345150589943	0.121754564344883	-0.0719384327530861	-0.0831918567419052	0.0118599943816662	0.0116180591285229	0.0102950865402818	-0.0220981109887362	0.0311677996069193	0.02844681404531
InferredCov2	0.00762882037088275	-0.0577378943562508	0.0112519850954413	0.0042737815529108	0.0336806997656822	0.0395498163998127	-0.0383699350059032	0.0147020351141691	0.0769841000437737	0.0178619213402271	-0.0487877056002617	0.0677013471722603	-0.0310690756887197	-0.131903812289238	-0.0907642915844917	0.0129732117056847	-0.114472143352032	-0.0575694665312767	-0.134148061275482	0.0298324003815651	-0.172773405909538	-0.0618818402290344	0.055259682238102	0.058010645210743	-0.0495794266462326	-0.0192344971001148	-0.0135926827788353	-0.0508142821490765	-0.104681082069874	0.0211128015071154	0.0935621708631516	-0.0743097141385078	-0.0258740838617086	-0.0033738671336323	-0.0981851071119308	0.0140103688463569	-0.0858859866857529	-0.0748430341482162	0.025262001901865	-0.0326843298971653	0.0556424483656883	-0.0106882760301232	-0.104422532021999	0.0053079342469573	0.0556803904473782	0.0458643138408661	0.011518849991262	-0.125304460525513	-0.00339892576448619	0.142182871699333	0.088956244289875	0.15416818857193	0.0206068903207779	0.0981414094567299	0.150656253099442	0.124493263661861	0.0409805104136467	0.065561443567276	0.081252358853817	0.0800981074571609	-0.00696520833298564	-0.00559262279421091	0.162325635552406	-0.0268740225583315	0.112844809889793	0.0327667891979218	0.0390474982559681	-0.109691008925438	0.0618917234241962	0.0873131081461906	-0.0772481933236122	0.0527268797159195	-0.0324392654001713	-0.0544504672288895	0.0499252192676067	-0.0146890785545111	0.0858678221702576	-0.135015830397606	-0.161122485995293	0.0370394550263882	-0.0864675119519234
InferredCov3	-0.0249636843800545	-0.0553932897746563	0.0150411073118448	0.0863727331161499	0.0795187726616859	-0.0189404115080833	-0.0205556284636259	-0.0380520597100258	0.00971751473844051	0.0811139494180679	-0.12121108174324	0.0740446895360947	-0.0830856785178185	0.0652179941534996	-0.0215199459344149	-0.111819736659527	-0.0350444652140141	0.0637748017907143	0.0643157958984375	0.0886919647455215	0.0216638911515474	-0.077403612434864	-0.116559222340584	-0.108089245855808	-0.00431095715612173	-0.1347746104002	0.00448901765048504	0.0940373912453651	0.0810153931379318	-0.0802124217152596	-0.118445321917534	0.0603197254240513	0.0750137642025948	-0.141610816121101	-0.0953370407223701	-0.0253968629986048	-0.127527505159378	0.09653090685606	-0.147540375590324	-0.0970729067921638	-0.121791064739227	-0.0933387279510498	0.0150221912190318	-0.0753556340932846	0.117310777306557	-0.122228629887104	-0.0748240947723389	0.10244869440794	0.00535908527672291	0.0210205186158419	-0.048809964209795	0.0132943196222186	0.201543539762497	-0.0666874349117279	0.136312708258629	0.112835757434368	0.119610376656055	0.0477265678346157	0.157957673072815	0.0766546651721001	-0.0426933318376541	0.00816710200160742	0.00553235597908497	0.100073054432869	-0.0149429319426417	-0.112600527703762	0.0379513129591942	0.0121391033753753	0.050618652254343	-0.00178881722968072	0.0416863597929478	-0.0191218517720699	0.0561289638280869	-0.0929150506854057	-0.0527155809104443	0.0138183040544391	0.0630182847380638	0.0348357148468494	0.0740201771259308	0.0532125756144524	0.00634307181462646
InferredCov4	-0.0224964953958988	-0.0177959650754929	0.171125367283821	0.102877959609032	0.0114068547263741	0.0521750077605247	0.0961500778794289	0.0703762471675873	-0.00721118319779634	0.0405674502253532	0.0565194152295589	-0.0948064997792244	0.0842028930783272	-0.0163349118083715	0.116020277142525	0.0287748146802187	0.074699766933918	-0.0854893624782562	0.0873087495565414	-0.00770770339295268	0.0441964492201805	-0.0686478689312935	-0.0809759497642517	-0.14897421002388	-0.0595101565122604	-0.181002140045166	-0.0876996219158173	-0.00516472058370709	-0.222711578011513	0.0364120565354824	0.0199506096541882	-0.0195970870554447	-0.182023108005524	-0.0137872751802206	-0.161173477768898	0.01559401396662	0.00895357877016068	-0.0856902152299881	0.0321144089102745	0.0403839834034443	-0.0545336194336414	-0.000573985045775771	0.0256423037499189	-0.0245004501193762	-0.0214559771120548	-0.0115094929933548	-0.00497149117290974	0.0154345156624913	0.0417278558015823	0.0937730371952057	0.0293551106005907	0.0928110107779503	-0.015022611245513	-0.0360588021576405	0.0297034233808517	0.124185174703598	-0.107164122164249	-0.131704404950142	-0.0216365586966276	-0.0342300422489643	0.086219996213913	-0.101209372282028	0.0894113928079605	-0.0355686657130718	0.0491427779197693	-0.154980927705765	-0.0262616481631994	0.0183464903384447	-0.0959501713514328	0.0559131242334843	-0.105312347412109	-0.0568833164870739	-0.0315566882491112	0.15958608686924	0.00500712729990482	0.123418509960175	0.0418254882097244	0.156774505972862	0.0534315966069698	0.013418341986835	0.146660089492798
InferredCov5	-0.0273556541651487	0.03410429880023	0.037944532930851	0.0208944585174322	-0.145279988646507	-0.100644215941429	0.0435450710356236	-0.0790224820375443	0.0966936498880386	0.0720370188355446	-0.0400115810334682	-0.264450699090958	-0.0290755499154329	-0.0653978064656258	0.0300746373832226	-0.0281748287379742	-0.0331005156040192	-0.117590978741646	-0.0580207481980324	-0.0253205578774214	-0.0496628321707249	-0.116818711161613	-0.044018030166626	0.0813845098018646	-0.00986080896109343	-0.0731547549366951	-0.0721396580338478	-0.0105092683807015	0.104441106319427	0.0626839771866798	-0.0452347993850708	-0.0793262124061584	-0.11791367828846	-0.0521793179214001	0.0749500393867493	0.0828578546643257	-0.104806326329708	-0.0631746202707291	0.122221313416958	0.130353033542633	0.0273312646895647	0.0416436679661274	-0.0409557446837425	0.0528024211525917	0.0946172103285789	0.00966526940464973	0.0500929653644562	0.167834475636482	0.0246024914085865	0.107500448822975	-0.137242421507835	-0.066611222922802	0.0231280587613583	-0.00630252249538898	-0.073135107755661	-0.072256363928318	-0.0682303383946419	-0.142444163560867	0.0703856647014618	0.129417583346367	-0.0835074707865715	0.0395836569368839	0.0105197047814727	-0.0088328942656517	0.10159657150507	0.0268896203488111	0.11639266461134	-0.0550373457372189	0.171812132000923	0.00707262102514505	0.180258169770241	0.021470170468092	0.158573269844055	0.00108562072273344	-0.00245620356872678	-0.0172010399401188	0.0169494096189737	-0.0392964892089367	0.102756723761559	-0.0863030627369881	0.0039203972555697
InferredCov6	0.0461694784462452	-0.158052951097488	0.0729327499866486	0.0768852755427361	0.0178423319011927	0.00294148060493171	0.0599373765289783	0.0199715867638588	0.111154474318027	0.0828792080283165	-0.0112968273460865	0.0450087934732437	0.0255060382187366	0.110422722995281	-0.262930542230606	0.0133643448352814	-0.0131191443651915	-0.058809831738472	0.0875590369105339	0.104011490941048	0.026800749823451	0.0995093062520027	-0.000335287768393755	-0.0249185338616371	0.0609836988151073	0.0256159864366055	0.0656653344631195	0.146461874246597	-0.0422161556780338	0.0771176815032959	-0.0596504993736744	0.101106651127338	-0.0906183123588562	0.121929168701172	0.0408793240785599	0.100102677941322	-0.0368941053748131	-0.0393537171185017	0.157187700271606	0.00781852472573519	0.0132917743176222	0.0515397749841213	-0.114816635847092	-0.120844356715679	0.0395592823624611	0.0212706364691257	-0.0555569231510162	0.0121867079287767	-0.209417194128036	-0.233700662851334	0.0333594456315041	-0.0429465137422085	-0.0715483352541924	0.0549688413739204	-0.0783274248242378	0.0165078602731228	-0.0726720914244652	-0.136504426598549	-0.0212821699678898	0.0748349279165268	-0.149141922593117	-0.0896968841552734	0.087882474064827	0.0129414610564709	-0.0755094662308693	-0.0599140897393227	0.134824961423874	0.00173701893072575	-0.0569746755063534	0.12211661785841	-0.0120396399870515	-0.0552890561521053	-0.00253318226896226	-0.125388160347939	-0.0178538020700216	-0.0651444271206856	0.0488253459334373	0.0113913957029581	-0.0182694904506207	0.0500584319233894	-0.0122615080326796
InferredCov7	0.0617597997188568	0.146535247564316	-0.0568143576383591	-0.0802598744630814	-0.0416533760726452	0.0515281893312931	0.0669537484645844	0.00437033222988248	-0.101279459893703	-0.215714499354362	-0.06044627353549	-0.133576080203056	-0.108021348714828	-0.0875992178916931	-0.0464648604393005	-0.0469120293855667	0.0439383499324322	0.110963381826878	0.0476020090281963	0.0618247352540493	0.00451694987714291	-0.0887937769293785	0.0980989709496498	-0.0835883319377899	0.0136191323399544	-0.0645800530910492	-0.0189565885812044	-0.0194705557078123	-0.165372520685196	-0.00271874922327697	-0.099368117749691	-0.0575347542762756	-0.0857470631599426	0.0738544091582298	-0.100095808506012	0.144702568650246	0.0479164235293865	0.122162006795406	0.0816805884242058	0.00651886500418186	0.0891614183783531	0.000198837558855303	0.0591055788099766	-0.0551541894674301	0.168861374258995	-0.0520738586783409	-0.0363865233957767	-0.133758902549744	0.0212077684700489	-0.145760864019394	0.0538354441523552	-0.0790683627128601	-0.0551829151809216	0.0103353951126337	0.0763252675533295	-0.0696865394711494	0.0375113785266876	0.0383278988301754	0.177907347679138	0.157124325633049	0.127856492996216	0.101721286773682	-0.104979112744331	-0.0384521074593067	-0.0603990517556667	0.00822842307388783	0.131362646818161	0.151651903986931	0.0196085888892412	0.0244653932750225	0.0564363561570644	-0.128663375973701	0.00395953143015504	0.107494622468948	-0.0302828997373581	-0.0503919571638107	0.0768467336893082	-0.0180574227124453	-0.099460244178772	0.0264254510402679	0.0066515589132905
