gene_id	gene_name	gene_type	strand	mappability	contig	TSS
ENSG00000272438.1	RP11-54O7.16	lincRNA	+	1.0	chr1	904834
ENSG00000230699.2	RP11-54O7.1	lincRNA	+	0.97597	chr1	911435
ENSG00000223764.2	RP11-54O7.3	lincRNA	-	1.0	chr1	919692
ENSG00000187634.11	SAMD11	protein_coding	+	0.98404	chr1	923928
ENSG00000188976.10	NOC2L	protein_coding	-	0.87821	chr1	959309
ENSG00000187961.13	KLHL17	protein_coding	+	1.0	chr1	960587
ENSG00000187583.10	PLEKHN1	protein_coding	+	1.0	chr1	966497
ENSG00000187642.9	PERM1	protein_coding	-	0.98758	chr1	982093
ENSG00000272512.1	RP11-54O7.17	lincRNA	-	0.83003	chr1	998051
ENSG00000188290.10	HES4	protein_coding	-	1.0	chr1	1000172
ENSG00000187608.8	ISG15	protein_coding	+	1.0	chr1	1001138
ENSG00000224969.1	RP11-54O7.11	antisense	-	0.98555	chr1	1013193
ENSG00000188157.14	AGRN	protein_coding	+	0.98634	chr1	1020123
ENSG00000273443.1	RP11-54O7.18	lincRNA	-	1.0	chr1	1063288
ENSG00000237330.2	RNF223	protein_coding	-	0.94337	chr1	1074307
ENSG00000131591.17	C1orf159	protein_coding	-	0.98326	chr1	1116361
ENSG00000223823.1	LINC01342	lincRNA	+	1.0	chr1	1137017
ENSG00000272141.1	RP11-465B22.8	lincRNA	+	1.0	chr1	1169357
ENSG00000162571.13	TTLL10	protein_coding	+	0.97968	chr1	1179189
ENSG00000205231.1	TTLL10-AS1	antisense	-	0.88881	chr1	1179555
ENSG00000186891.13	TNFRSF18	protein_coding	-	1.0	chr1	1206691
ENSG00000186827.10	TNFRSF4	protein_coding	-	1.0	chr1	1214132
ENSG00000078808.16	SDF4	protein_coding	-	1.0	chr1	1232031
ENSG00000176022.4	B3GALT6	protein_coding	+	1.0	chr1	1232265
ENSG00000184163.3	C1QTNF12	protein_coding	-	1.0	chr1	1246722
ENSG00000160087.20	UBE2J2	protein_coding	-	1.0	chr1	1273885
ENSG00000230415.1	LINC01786	lincRNA	+	0.88883	chr1	1275223
ENSG00000162572.20	SCNN1D	protein_coding	+	0.99767	chr1	1280436
ENSG00000131584.18	ACAP3	protein_coding	-	1.0	chr1	1308018
ENSG00000169972.11	PUSL1	protein_coding	+	0.99564	chr1	1308567
ENSG00000240731.1	RP5-890O3.9	sense_intronic	-	1.0	chr1	1318678
ENSG00000127054.20	INTS11	protein_coding	-	0.98242	chr1	1324691
ENSG00000224051.6	CPTP	protein_coding	+	1.0	chr1	1324756
ENSG00000169962.4	TAS1R3	protein_coding	+	1.0	chr1	1331314
ENSG00000107404.19	DVL1	protein_coding	-	0.99444	chr1	1349350
ENSG00000162576.16	MXRA8	protein_coding	-	1.0	chr1	1361777
ENSG00000175756.13	AURKAIP1	protein_coding	-	0.99934	chr1	1375495
ENSG00000223663.2	NDUFB4P8	processed_pseudogene	+	1.0	chr1	1378666
